date,state,district,age_0_5,age_5_17,age_18_greater,year,month,bio_age_5_17,bio_age_17_,demo_age_5_17,demo_age_17_,total_enrolments,total_bio_updates,total_demo_updates,total_updates,update_intensity,bio_intensity,demo_intensity,updates_per_1000,bio_share,demo_share,young_enrol_share,child_enrol_share,adult_enrol_share,child_update_share,update_intensity_zscore,bio_intensity_zscore,demo_intensity_zscore,total_enrolments_mom,total_enrolments_roll3,total_updates_mom,total_updates_roll3,update_intensity_mom,update_intensity_roll3,national_percentile,state_percentile,anomaly_type
2025-11-18,Andaman And Nicobar Islands,Nicobar,2.0,0.0,0.0,4050,22,6.0,5.0,0.0,0.0,2.0,11.0,0.0,11.0,5.5,5.5,0.0,5500.0,1.0,0.0,1.0,0.0,0.0,0.5454545454545454,3.5966143482325608,5.612898791405163,-0.07590768706006815,inf,0.6666666666666666,-31.25,10.0,inf,1.8333333333333333,99.08882050118419,99.86807387862797,High Spike
2025-11-10,Andaman And Nicobar Islands,North And Middle Andaman,2.0,0.0,0.0,4050,22,0.0,0.0,0.0,32.0,2.0,0.0,32.0,32.0,16.0,0.0,16.0,16000.0,0.0,1.0,1.0,0.0,0.0,0.0,10.674798888163972,-0.09352101133482975,16.21943665137279,inf,0.6666666666666666,966.6666666666666,15.0,inf,5.333333333333333,99.87449122856779,100.0,High Spike
2025-10-19,Andhra Pradesh,Parvathipuram Manyam,6.0,2.0,0.0,14175,70,0.0,0.0,7.0,40.0,8.0,0.0,47.0,47.0,5.875,0.0,5.875,5875.0,0.0,1.0,0.75,0.25,0.0,0.14893617021276595,3.8494066532301114,-0.09352101133482975,5.907539062208246,inf,2.6666666666666665,-9.615384615384615,42.0,inf,1.9583333333333333,99.15500215090361,100.0,High Spike
2025-09-01,Andhra Pradesh,Visakhapatnam,106.0,8.0,2.0,93150,414,335.0,247.0,0.0,0.0,116.0,582.0,0.0,582.0,5.017241379310345,5.017241379310345,0.0,5017.241379310345,1.0,0.0,0.9137931034482759,0.06896551724137931,0.017241379310344827,0.5756013745704467,3.271180576281692,5.11202181812391,-0.07590768706006815,inf,38.666666666666664,-97.80683573877982,9841.0,inf,1.6724137931034484,98.99167529391744,99.99080121423972,High Spike
2025-09-01,Arunachal Pradesh,Anjaw,2.0,0.0,0.0,2025,9,2.0,4.0,2.0,12.0,2.0,6.0,14.0,20.0,10.0,3.0,7.0,10000.0,0.3,0.7,1.0,0.0,0.0,0.2,6.630122008203166,3.01907160834153,7.053305461004306,inf,0.6666666666666666,-85.61151079136691,89.0,inf,3.3333333333333335,99.64214636544561,97.07269700332964,High Spike
2025-09-08,Arunachal Pradesh,Anjaw,3.0,0.0,0.0,2025,9,1.0,2.0,6.0,30.0,3.0,3.0,36.0,39.0,13.0,1.0,12.0,13000.0,0.07692307692307693,0.9230769230769231,1.0,0.0,0.0,0.1794871794871795,8.65246044818357,0.9440098618906236,12.145600566764573,inf,1.0,3800.0,14.0,inf,4.333333333333333,99.78987326214079,98.09933407325194,High Spike
2025-09-11,Arunachal Pradesh,Anjaw,2.0,0.0,0.0,2025,9,1.0,2.0,1.0,12.0,2.0,3.0,13.0,16.0,8.0,1.5,6.5,8000.0,0.1875,0.8125,1.0,0.0,0.0,0.125,5.281896381549564,1.4627752985033502,6.5440759504282795,inf,0.6666666666666666,-11.111111111111116,17.333333333333332,inf,2.6666666666666665,99.46251045906429,96.18479467258602,High Spike
2025-09-16,Arunachal Pradesh,Anjaw,1.0,0.0,0.0,2025,9,10.0,4.0,4.0,4.0,1.0,14.0,8.0,22.0,22.0,14.0,8.0,22000.0,0.6363636363636364,0.36363636363636365,1.0,0.0,0.0,0.6363636363636364,14.719475768124777,14.431911213821516,8.07176448215636,inf,0.3333333333333333,15.789473684210531,14.0,inf,7.333333333333333,99.92814563744746,99.09822419533852,High Spike
2025-10-17,Arunachal Pradesh,Anjaw,0.0,1.0,0.0,2025,10,4.0,0.0,5.0,6.0,1.0,4.0,11.0,15.0,15.0,4.0,11.0,15000.0,0.26666666666666666,0.7333333333333333,0.0,1.0,0.0,0.6,10.000686074837171,4.056602481566983,11.12714154561252,inf,0.3333333333333333,-31.818181818181824,13.333333333333334,inf,5.0,99.85321855544368,98.52941176470588,High Spike
2025-10-25,Arunachal Pradesh,Anjaw,0.0,1.0,0.0,2025,10,16.0,6.0,2.0,4.0,1.0,22.0,6.0,28.0,28.0,22.0,6.0,28000.0,0.7857142857142857,0.21428571428571427,0.0,1.0,0.0,0.6428571428571429,18.764152648085584,22.732158199625143,6.034846439852253,inf,0.3333333333333333,64.70588235294117,15.666666666666666,inf,9.333333333333334,99.95485466036995,99.33407325194229,High Spike
