date,year,month,day_of_week,is_weekend,state,district,bio_age_5_17,bio_age_17_,total_bio,active_pincodes,minor_share,zscore,anomaly_type
2025-03-01,2025,3,Saturday,True,Andhra Pradesh,Ananthapur,11722,2215,13937,91,0.8410705316782665,3.9634149833271186,High Spike
2025-03-01,2025,3,Saturday,True,Andhra Pradesh,Ananthapuramu,14063,2087,16150,92,0.8707739938080495,4.636624675631912,High Spike
2025-03-01,2025,3,Saturday,True,Andhra Pradesh,Chittoor,18773,9414,28187,96,0.6660162486252528,8.298362166039862,High Spike
2025-03-01,2025,3,Saturday,True,Andhra Pradesh,Cuddapah,11599,5222,16821,78,0.6895547232625884,4.8407474517442095,High Spike
2025-03-01,2025,3,Saturday,True,Andhra Pradesh,East Godavari,18286,11512,29798,132,0.6136653466675616,8.788439352801282,High Spike
2025-03-01,2025,3,Saturday,True,Andhra Pradesh,Guntur,19655,11604,31259,106,0.628778911673438,9.232885516586776,High Spike
2025-03-01,2025,3,Saturday,True,Andhra Pradesh,Hyderabad,2070,9936,12006,49,0.1724137931034483,3.3759916142170616,High Spike
2025-03-01,2025,3,Saturday,True,Andhra Pradesh,Krishna,16816,9887,26703,110,0.6297419765569412,7.846919245398057,High Spike
2025-03-01,2025,3,Saturday,True,Andhra Pradesh,Kurnool,27662,10576,38238,84,0.7234164966786966,11.355944912246585,High Spike
2025-03-01,2025,3,Saturday,True,Andhra Pradesh,Nellore,5113,6240,11353,76,0.45036554214745,3.1773445608618744,High Spike
2025-03-01,2025,3,Saturday,True,Andhra Pradesh,Prakasam,11991,7242,19233,99,0.6234596786772735,5.574494301197062,High Spike
2025-03-01,2025,3,Saturday,True,Andhra Pradesh,Srikakulam,22984,6997,29981,66,0.7666188586104533,8.844109200831909,High Spike
2025-03-01,2025,3,Saturday,True,Andhra Pradesh,Visakhapatnam,21850,15143,36993,89,0.5906522855675398,10.977207421546419,High Spike
2025-03-01,2025,3,Saturday,True,Andhra Pradesh,Vizianagaram,11966,6473,18439,61,0.6489505938499919,5.332954086244506,High Spike
2025-03-01,2025,3,Saturday,True,Andhra Pradesh,West Godavari,15662,9674,25336,114,0.618171771392485,7.4310685226774735,High Spike
2025-03-01,2025,3,Saturday,True,Assam,Barpeta,8751,2053,10804,22,0.8099777860051832,3.010335016769994,High Spike
2025-03-01,2025,3,Saturday,True,Bihar,Araria,13043,13990,27033,18,0.48248437095401914,7.947307495945089,High Spike
2025-03-01,2025,3,Saturday,True,Bihar,Aurangabad,6082,7741,13823,27,0.4399913188164653,3.9287354058654165,High Spike
2025-03-01,2025,3,Saturday,True,Bihar,Banka,6904,7892,14796,26,0.4666125979994593,4.224728641569241,High Spike
2025-03-01,2025,3,Saturday,True,Bihar,Begusarai,13077,12307,25384,31,0.5151670343523479,7.445670450029769,High Spike
2025-03-01,2025,3,Saturday,True,Bihar,Bhagalpur,13344,11954,25298,31,0.5274725274725275,7.4195086635235725,High Spike
2025-03-01,2025,3,Saturday,True,Bihar,Bhojpur,5124,12146,17270,40,0.29669947886508397,4.977336313852141,High Spike
2025-03-01,2025,3,Saturday,True,Bihar,Darbhanga,13331,17721,31052,42,0.4293121216024733,9.169914704880004,High Spike
2025-03-01,2025,3,Saturday,True,Bihar,East Champaran,13825,20084,33909,38,0.4077088678521926,10.039033589161429,High Spike
2025-03-01,2025,3,Saturday,True,Bihar,Gaya,16486,21241,37727,34,0.4369814721552204,11.200495227308604,High Spike
2025-03-01,2025,3,Saturday,True,Bihar,Gopalganj,6451,7603,14054,22,0.4590152269816422,3.9990071812483388,High Spike
2025-03-01,2025,3,Saturday,True,Bihar,Jamui,6531,6134,12665,12,0.5156731148835373,3.576463908491286,High Spike
2025-03-01,2025,3,Saturday,True,Bihar,Kaimur (Bhabua),6479,7450,13929,11,0.4651446622155216,3.9609813287684026,High Spike
2025-03-01,2025,3,Saturday,True,Bihar,Katihar,16676,16958,33634,21,0.4958078135220313,9.955376713705569,High Spike
2025-03-01,2025,3,Saturday,True,Bihar,Khagaria,6128,6877,13005,15,0.47120338331410994,3.679894227236713,High Spike
2025-03-01,2025,3,Saturday,True,Bihar,Kishanganj,7612,8682,16294,8,0.46716582791211486,4.680430457688798,High Spike
2025-03-01,2025,3,Saturday,True,Bihar,Madhepura,6355,11462,17817,18,0.3566818207330078,5.143737444304342,High Spike
2025-03-01,2025,3,Saturday,True,Bihar,Madhubani,16996,20887,37883,43,0.4486445107304068,11.247951491203565,High Spike
2025-03-01,2025,3,Saturday,True,Bihar,Muzaffarpur,13651,18161,31812,51,0.42911479944674963,9.401111887958015,High Spike
2025-03-01,2025,3,Saturday,True,Bihar,Nalanda,6154,11926,18080,30,0.3403761061946903,5.223743837922128,High Spike
2025-03-01,2025,3,Saturday,True,Bihar,Nawada,6780,9577,16357,24,0.41450143669377026,4.699595487338686,High Spike
2025-03-01,2025,3,Saturday,True,Bihar,Patna,11916,18174,30090,62,0.396011964107677,8.877267744194413,High Spike
2025-03-01,2025,3,Saturday,True,Bihar,Purnia,13497,17552,31049,26,0.43469999033785306,9.169002084420484,High Spike
2025-03-01,2025,3,Saturday,True,Bihar,Rohtas,7472,9366,16838,31,0.4437581660529754,4.845918967681481,High Spike
2025-03-01,2025,3,Saturday,True,Bihar,Saharsa,6272,12430,18702,18,0.33536520158271843,5.412960479862291,High Spike
2025-03-01,2025,3,Saturday,True,Bihar,Samastipur,13667,19484,33151,40,0.41226509004253264,9.808444819723094,High Spike
2025-03-01,2025,3,Saturday,True,Bihar,Saran,7779,13089,20868,49,0.37277170787809083,6.071872451634628,High Spike
2025-03-01,2025,3,Saturday,True,Bihar,Sitamarhi,11896,16604,28500,25,0.41740350877192983,8.393578900649622,High Spike
2025-03-01,2025,3,Saturday,True,Bihar,Siwan,6752,10438,17190,43,0.39278650378126817,4.9529997682649824,High Spike
2025-03-01,2025,3,Saturday,True,Bihar,Supaul,6821,11721,18542,23,0.36786754395426596,5.364287388687973,High Spike
2025-03-01,2025,3,Saturday,True,Bihar,Vaishali,9704,16175,25879,36,0.37497584914409365,7.596252825850317,High Spike
2025-03-01,2025,3,Saturday,True,Bihar,West Champaran,9731,15377,25108,18,0.38756571610642027,7.361709367754069,High Spike
2025-03-01,2025,3,Saturday,True,Chhattisgarh,Bilaspur,2414,9589,12003,21,0.20111638756977424,3.375078993757543,High Spike
2025-03-01,2025,3,Saturday,True,Chhattisgarh,Durg,2548,10749,13297,23,0.19162217041437918,3.7687226186298446,High Spike
2025-03-01,2025,3,Saturday,True,Chhattisgarh,Janjgir-Champa,2728,10158,12886,19,0.21170262300170728,3.6436936156758137,High Spike
2025-03-01,2025,3,Saturday,True,Chhattisgarh,Korba,5729,6814,12543,18,0.4567487841824125,3.5393506764708684,High Spike
2025-03-01,2025,3,Saturday,True,Chhattisgarh,Raipur,2737,9682,12419,25,0.22038811498510347,3.5016290308107716,High Spike
2025-03-01,2025,3,Saturday,True,Chhattisgarh,Rajnandgaon,1554,9521,11075,13,0.14031602708803612,3.092775064946496,High Spike
2025-03-01,2025,3,Saturday,True,Delhi,East Delhi,4902,8233,13135,8,0.373201370384469,3.7194411138158467,High Spike
2025-03-01,2025,3,Saturday,True,Delhi,North East Delhi,7096,6613,13709,4,0.5176161645634255,3.894055828403715,High Spike
2025-03-01,2025,3,Saturday,True,Delhi,North West Delhi,15709,29195,44904,17,0.3498352039907358,13.38378757329663,High Spike
2025-03-01,2025,3,Saturday,True,Delhi,South Delhi,11377,16784,28161,19,0.40399843755548454,8.290452788724036,High Spike
2025-03-01,2025,3,Saturday,True,Delhi,South West Delhi,8641,11833,20474,24,0.42204747484614635,5.952014964617869,High Spike
2025-03-01,2025,3,Saturday,True,Delhi,West Delhi,8635,15644,24279,10,0.35565715227151035,7.109521914107131,High Spike
2025-03-01,2025,3,Saturday,True,Gujarat,Ahmedabad,19111,29284,48395,77,0.3948961669593966,14.445773581356292,High Spike
2025-03-01,2025,3,Saturday,True,Gujarat,Anand,5698,8373,14071,62,0.40494634354345815,4.00417869718561,High Spike
2025-03-01,2025,3,Saturday,True,Gujarat,Banaskantha,8364,10340,18704,27,0.4471770744225834,5.413568893501971,High Spike
2025-03-01,2025,3,Saturday,True,Gujarat,Bhavnagar,7812,10258,18070,44,0.43231876037631434,5.220701769723734,High Spike
2025-03-01,2025,3,Saturday,True,Gujarat,Dahod,6531,7658,14189,15,0.4602861371484953,4.0400751019266705,High Spike
2025-03-01,2025,3,Saturday,True,Gujarat,Junagadh,3500,8433,11933,47,0.29330428224252075,3.353784516368779,High Spike
2025-03-01,2025,3,Saturday,True,Gujarat,Kachchh,9380,6902,16282,52,0.5760963026655203,4.6767799758507245,High Spike
2025-03-01,2025,3,Saturday,True,Gujarat,Kheda,6929,10058,16987,51,0.40790015894507564,4.891245783837565,High Spike
2025-03-01,2025,3,Saturday,True,Gujarat,Mahesana,5066,7773,12839,45,0.3945790170574032,3.629395895143358,High Spike
2025-03-01,2025,3,Saturday,True,Gujarat,Panchmahals,3743,9258,13001,28,0.28790093069763867,3.678677399957355,High Spike
2025-03-01,2025,3,Saturday,True,Gujarat,Rajkot,9086,10727,19813,52,0.4585877958915863,5.750934256703966,High Spike
