state,district,age_0_5,age_5_17,age_18_greater,total_enrol,share_0_5,share_5_17,share_18_plus,child_to_adult_ratio,age_category,cv_enrol,child_share,cluster
100000,100000,0,1,72,73,0.0,0.0136986301369863,0.9863013698630136,0.013888888888869598,Adult-Heavy,1.20210455343735,0.0136986301369863,2
Andaman And Nicobar Islands,Andamans,53,5,0,58,0.9137931034482759,0.08620689655172414,0.0,580000000000.0,Child-Heavy,0.48816756377533926,1.0,4
Andaman And Nicobar Islands,Nicobar,63,11,0,74,0.8513513513513513,0.14864864864864866,0.0,740000000000.0,Child-Heavy,0.9093366314276918,1.0,4
Andaman And Nicobar Islands,North And Middle Andaman,125,4,0,129,0.9689922480620154,0.031007751937984496,0.0,1290000000000.0,Child-Heavy,0.6785774956932511,1.0,4
Andaman And Nicobar Islands,South Andaman,177,11,0,188,0.9414893617021277,0.05851063829787234,0.0,1880000000000.0,Child-Heavy,0.6005805479303565,1.0,4
Andhra Pradesh,Adilabad,643,150,0,793,0.8108448928121059,0.18915510718789408,0.0,7930000000000.0,Child-Heavy,0.6420673183701135,1.0,4
Andhra Pradesh,Alluri Sitharama Raju,680,80,14,774,0.8785529715762274,0.10335917312661498,0.01808785529715762,54.28571428532653,Child-Heavy,0.6007822171125091,0.9819121447028424,4
Andhra Pradesh,Anakapalli,328,9,3,340,0.9647058823529412,0.026470588235294117,0.008823529411764706,112.33333332958888,Child-Heavy,0.688912236926859,0.9911764705882353,4
Andhra Pradesh,Anantapur,2636,215,0,2851,0.9245878639074009,0.07541213609259909,0.0,28510000000000.0,Child-Heavy,0.5987630155537343,1.0,0
Andhra Pradesh,Ananthapur,954,64,0,1018,0.93713163064833,0.06286836935166994,0.0,10180000000000.0,Child-Heavy,0.5731344054168416,1.0,4
Andhra Pradesh,Ananthapuramu,1514,81,4,1599,0.9468417761100688,0.05065666041275797,0.0025015634771732333,398.74999999003126,Child-Heavy,0.47652102761504855,0.9974984365228268,4
Andhra Pradesh,Annamayya,563,29,80,672,0.8377976190476191,0.043154761904761904,0.11904761904761904,7.39999999999075,Child-Heavy,0.6462016720376896,0.8809523809523809,4
Andhra Pradesh,Bapatla,305,43,13,361,0.8448753462603878,0.11911357340720222,0.036011080332409975,26.76923076902485,Child-Heavy,0.724230516835648,0.96398891966759,4
Andhra Pradesh,Chittoor,6504,570,42,7116,0.9139966273187183,0.08010118043844856,0.005902192242833052,168.42857142817041,Child-Heavy,0.5841412766402685,0.9940978077571669,0
Andhra Pradesh,Cuddapah,4503,337,0,4840,0.9303719008264463,0.06962809917355373,0.0,48400000000000.0,Child-Heavy,0.5888117475222719,1.0,0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,457,26,13,496,0.9213709677419355,0.05241935483870968,0.02620967741935484,37.15384615356035,Child-Heavy,0.6020016836148245,0.9737903225806451,4
Andhra Pradesh,East Godavari,6127,431,9,6567,0.932998324958124,0.0656311862342013,0.0013704888076747374,728.6666666585704,Child-Heavy,0.5910612210992591,0.9986295111923252,0
Andhra Pradesh,Eluru,393,35,11,439,0.8952164009111617,0.07972665148063782,0.025056947608200455,38.90909090873719,Child-Heavy,0.5786048321926763,0.9749430523917996,4
