state,district,slope,mean_activity,n_months,relative_slope,district_label
Jammu And Kashmir,Poonch,-2.0,2.0,2,-100.0,"Poonch
(Jam)"
Telangana,Medchal?Malkajgiri,-237.90000000000006,241.6,5,-98.46854304635765,"Medchal?Malkajgiri
(Tel)"
Karnataka,Bengaluru Rural,-298.42857142857133,479.8333333333333,6,-62.19421426090407,"Bengaluru Rural
(Kar)"
Chhattisgarh,Gaurella Pendra Marwahi,-279.00000000000006,491.5,2,-56.76500508647,"Gaurella Pendra Marwahi
(Chh)"
Tamil Nadu,Kanchipuram,-32.97142857142854,67.33333333333333,6,-48.96746817538892,"Kanchipuram
(Tam)"
Gujarat,Sabar Kantha,-354.90000000000015,739.4,5,-47.998377062483115,"Sabar Kantha
(Guj)"
Gujarat,Panch Mahals,-202.3000000000001,429.2,5,-47.13420316868595,"Panch Mahals
(Guj)"
Meghalaya,Jaintia Hills,-3.7000000000000015,9.25,4,-40.00000000000002,"Jaintia Hills
(Meg)"
West Bengal,South  Twenty Four Parganas,-1.0000000000000007,2.5,2,-40.00000000000002,"South  Twenty Four Parganas
(Wes)"
Chhattisgarh,Manendragarhchirmiribharatpur,-37.00000000000001,104.0,3,-35.57692307692308,"Manendragarhchirmiribharatpur
(Chh)"
Mizoram,Serchhip,-376.98333333333346,1129.0,9,-33.39090640684973,"Serchhip
(Miz)"
Mizoram,Mamit,-451.65000000000003,1410.5555555555557,9,-32.01929893658921,"Mamit
(Miz)"
Dadra And Nagar Haveli And Daman And Diu,Diu,-24.30000000000001,83.8,5,-28.997613365155146,"Diu
(Dad)"
Mizoram,Champhai,-753.0833333333334,2622.4444444444443,9,-28.716846029997463,"Champhai
(Miz)"
West Bengal,Burdwan,-1.0000000000000009,3.5,2,-28.571428571428598,"Burdwan
(Wes)"
Gujarat,Banas Kantha,-587.7499999999995,2074.0,7,-28.338958534233345,"Banas Kantha
(Guj)"
Mizoram,Lunglei,-730.6833333333337,2593.1111111111113,9,-28.177864427114592,"Lunglei
(Miz)"
Mizoram,Kolasib,-466.95000000000016,1674.7777777777778,9,-27.881310953360323,"Kolasib
(Miz)"
Mizoram,Mammit,-107.98333333333333,396.8888888888889,9,-27.20744680851064,"Mammit
(Miz)"
West Bengal,South 24 Pargana,-2.300000000000001,8.75,4,-26.285714285714302,"South 24 Pargana
(Wes)"
