state,district,age_0_5,age_5_17,age_18_greater,total_enrol,child_enrol_share,bio_5_17,bio_17_plus,total_bio,demo_5_17,demo_17_plus,total_demo,total_updates,child_updates,child_update_share,child_gap,update_intensity
100000,100000,0.0,1.0,217.0,218.0,0.0045871559633027525,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,-0.0045871559633027525,0.009174311926605505
Andaman & Nicobar Islands,Andamans,70.0,5.0,0.0,75.0,1.0,343.0,1672.0,2015.0,7.0,743.0,750.0,2765.0,350.0,0.12658227848101267,-0.8734177215189873,36.86666666666667
Andaman & Nicobar Islands,Nicobars,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,4.0,4.0,6.0,1.0,0.16666666666666666,-0.8333333333333334,6.0
Andaman & Nicobar Islands,South Andaman,38.0,0.0,0.0,38.0,1.0,61.0,306.0,367.0,6.0,299.0,305.0,672.0,67.0,0.09970238095238096,-0.9002976190476191,17.68421052631579
Andaman and Nicobar Islands,Nicobar,64.0,11.0,0.0,75.0,1.0,992.0,819.0,1811.0,58.0,729.0,787.0,2598.0,1050.0,0.40415704387990764,-0.5958429561200924,34.64
Andaman and Nicobar Islands,North And Middle Andaman,128.0,4.0,0.0,132.0,1.0,3780.0,2603.0,6383.0,112.0,1897.0,2009.0,8392.0,3892.0,0.4637750238322212,-0.5362249761677789,63.57575757575758
Andaman and Nicobar Islands,South Andaman,178.0,12.0,0.0,190.0,1.0,6629.0,3491.0,10120.0,434.0,2957.0,3391.0,13511.0,7063.0,0.5227592332173784,-0.4772407667826216,71.11052631578947
Andhra Pradesh,Adilabad,1137.0,281.0,1.0,1419.0,0.9992952783650458,12208.0,39830.0,52038.0,2596.0,26695.0,29291.0,81329.0,14804.0,0.18202609155405822,-0.8172691868109876,57.31430584918957
Andhra Pradesh,Alluri Sitharama Raju,1105.0,116.0,34.0,1255.0,0.9729083665338646,8438.0,10169.0,18607.0,1569.0,11302.0,12871.0,31478.0,10007.0,0.31790456826990277,-0.6550037982639618,25.08207171314741
Andhra Pradesh,Anakapalli,523.0,12.0,8.0,543.0,0.9852670349907919,3542.0,3181.0,6723.0,1772.0,11688.0,13460.0,20183.0,5314.0,0.2632908883714017,-0.7219761466193902,37.16942909760589
Andhra Pradesh,Anantapur,4089.0,326.0,0.0,4415.0,1.0,35834.0,57731.0,93565.0,8956.0,59789.0,68745.0,162310.0,44790.0,0.2759534224631877,-0.7240465775368123,36.76330690826727
Andhra Pradesh,Ananthapur,1843.0,151.0,0.0,1994.0,1.0,64082.0,20050.0,84132.0,9092.0,20934.0,30026.0,114158.0,73174.0,0.6409888049895759,-0.3590111950104241,57.25075225677031
Andhra Pradesh,Ananthapuramu,3018.0,159.0,10.0,3187.0,0.996862252902416,90533.0,19069.0,109602.0,11812.0,44132.0,55944.0,165546.0,102345.0,0.618226958066036,-0.37863529483638003,51.944148101663004
Andhra Pradesh,Annamayya,868.0,48.0,105.0,1021.0,0.8971596474045054,5790.0,3922.0,9712.0,5789.0,27845.0,33634.0,43346.0,11579.0,0.2671296082683523,-0.6300300391361531,42.45445641527914
Andhra Pradesh,Bapatla,421.0,55.0,16.0,492.0,0.967479674796748,3899.0,2083.0,5982.0,2008.0,11506.0,13514.0,19496.0,5907.0,0.30298522773902337,-0.6644944470577246,39.6260162601626
Andhra Pradesh,Chittoor,7493.0,659.0,43.0,8195.0,0.9947528981086028,168710.0,82695.0,251405.0,28652.0,140927.0,169579.0,420984.0,197362.0,0.4688111662200939,-0.5259417318885089,51.370835875533864
Andhra Pradesh,Cuddapah,5519.0,413.0,2.0,5934.0,0.9996629592180654,115127.0,55669.0,170796.0,11074.0,72593.0,83667.0,254463.0,126201.0,0.495950295327808,-0.5037126638902574,42.882204246713854
